source,pivot_text(de),pivot_text(zh),bt_zh,bt_de
Leizu shared her discoveries with others and the knowledge became widespread in China.,Leizu gab ihre Ergebnisse heraus und die Daten waren in China bekannt.,莱祖与他人分享她的发现 知识遍布中国,Lezu shared her findings with others.,Leizu published her results and the data were known in China.
"In 1961, she made her Metropolitan Opera debut as Aida; the following year she made her debut at the Royal Opera House with the same role.","1961 debütierte sie als Aida in der Metropolitan Opera, im darauffolgenden Jahr debütierte sie im Royal Opera House mit derselben Rolle.","1961年,她以艾达为首演《大都会歌剧》,1962年,她再次在皇家歌剧院首演《艾达》。","In 1961, she started the Metropolis Opera with Aida, and again in 1962, in the Royal Opera House with Aida.","In 1961 she made her debut as Aida at the Metropolitan Opera, and in the following year she made her debut at the Royal Opera House with the same role."
He was also commissioned in 1944 by Yehudi Menuhin to write a Sonata for Solo Violin.,"1944 wurde er von Yehudi Menuhin in Auftrag gegeben, um eine Sonate für Solo Violine zu schreiben.","他受Yehudi Menuhin的委托,于1944年为Solo Violin写《索纳塔》。",He was commissioned by Yehudi Menuhin to write Sonata in 1944 for Solo Violin.,In 1944 he was commissioned by Yehudi Menuhin to write a sonata for solo violin.
"Historically mills were powered by hand (mortar and pestle), working animal, wind (windmill) or water (watermill).","Historisch wurden Mühlen von Hand (Mortar und Pestle), arbeitendem Tier, Wind (Windmühle) oder Wasser (Wassermühle) ein- und ausgeschaltet.","过去,磨坊用手(摩尔和害虫)充电,磨坊也用工作动物、风(风车)或水(水车)充电。","In the past, mills charged hands (mor and pests) and mills charged working animals, wind (windmills) or water (water tankers).","Historically, mills were turned on and off by hand (mortar and pestle), working animal, wind (windmill) or water (water mill)."
"2005 According to chapters, Jesus of Nazareth gave this sermon (estimated around AD 30) on a mountainside to his disciples and a large crowd.","Es wird gesagt, dass Jesus diese Predigt um 30 n. Chr. auf einem Berghang seinen Jüngern und anderen hielt.","根据历史,拿撒勒人耶稣在大约30公元前的一座山坡上向包括门徒在内的大批群众布道。","According to history, Jesus of Nazareth preached to a large number of people, including disciples, on a hillside about 30 BC.",It is said that Jesus preached this sermon around 30 A.D. on a mountain slope to his disciples and others.
"Election The President of the Bundesrat usually is elected on the 1 November in a given year, and serves until the 31 October in the year that follows.",Der Präsident des Bundesrates wird in der Regel am 1. November in einem bestimmten Jahr gewählt und dient bis zum 31. Oktober nächsten Jahres.,"联邦参议院议长通常在某一年的11月1日投票选举,在下一年工作到10月31日。",The President of the Federal Senate normally votes on 1 November of a given year and works the following year until 31 October.,The President of the Federal Council is usually elected on 1 November in a given year and will serve until 31 October next year.
Recovery Russia bounced back from the August 1998 financial crash with surprising speed.,Russland prallte schnell vom Finanzcrash 1998 zurück.,俄罗斯从1998年8月的金融危机中迅速反弹。,Russia rebounded rapidly from the financial crisis of August 1998.,Russia quickly bounced back from the financial crash in 1998.
"He has, however, managed to nail his own legs to a table, and knocked Neil out during a game of cricket, albeit unintentionally.","Er heftete versehentlich seine Beine an den Tisch. Er schlug Neil hart in den Kopf, während er Cricket spielte.","他设法把自己的腿钉在桌子上, 在板球比赛中不知不觉地把尼尔打晕了。","He managed to nail his legs to the table, knocked Neil unconscious in a cricket game.",He accidentally attached his legs to the table. He hit Neil hard in the head while playing cricket.
Species are native to tropical and subtropical regions of all continents in addition to the South West Pacific and Australasia.,Die Arten stammen aus tropischen und subtropischen Regionen aller Kontinente. Sie stammen auch aus Südwestpazifik und Australasien.,"各大洲的热带和亚热带区域都是物种的本地物种,此外还有西南太平洋和澳大拉西亚。","The tropical and subtropical regions of all continents are native species of species, in addition to the South-West Pacific and Australasia.",The species come from tropical and subtropical regions of all continents. They also come from Southwest Pacific and Australasia.
Ripley is a town in the Amber Valley area of Derbyshire in England.,"Ripley ist eine Stadt in Derbyshire, England.",在德比郡英格兰 有一个叫瑞普利的小镇,"In Derby County, England, there's a town called Ripley.","Ripley is a town in Derbyshire, England."
"Her mother was related to Charles Reade, a Victorian novelist.","Ihre Mutter war mit Charles Reade verwandt, er war ein viktorianischer Schriftsteller.",Charles Reade是她母亲的亲戚 他是维多利亚小说家,Charles Reade is a relative of her mother. He's a Victorian novelist.,"Her mother was related to Charles Reade, who was a Victorian writer."
"In this respect, there is a striking parallel between the Qing / Koxinga situation and the current PRC / ROC situation.",In diesem Fall gibt es eine Ähnlichkeit zwischen der Situation in Qing/Koxinga und der derzeitigen Situation in der VR China/ROC.,"在这种情况下,清/克辛加局势与目前的中华人民共和国/科摩罗区域办事处局势有相似之处。","In this context, there are similarities between the situation in Chin/ksinga and the situation in the current regional office in the People's Republic of China/Comoros.","In this case, there is a similarity between the situation in Qing/Koxinga and the current situation in the PRC/ROC."
"Geography Unna is situated on the route of an ancient salt-trading route, the Hellweg road.","Unna ist auf der alten Salz-Trading-Route, Hellweg Straße",Unna在盐贸易路线上 Hellweg路,"Unna's on the salt trade route, Hellweg Road.","Unna is on the old salt trading route, Hellweg street"
